,Gender,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Salary
28,1,84,2011,68,2,72,0,2015,580,570,385,0.20739217,0.1282,0.7119,1.3933,-0.3612,-0.0943,1,0,0,0,145000
29,1,64,2010,74,2,68,0,2014,485,375,435,0.486747008,-3.1994,-1.8393,0.0552,0.0623,-0.7615,1,0,0,0,220000
30,1,84,2007,92,2,77.2,0,2011,475,405,695,0.670743151,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,1,0,0,0,530000
31,1,77.2,2010,86.1,2,71,0,2014,560,485,450,0.622642916,-0.0154,1.2114,1.0859,-1.5021,0.2889,1,0,0,0,340000
32,0,87,2009,84.4,1,79.3,1,2013,570,475,295,0.413838256,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,1,0,0,0,360000
33,1,73,2010,68.4,2,74.3,1,2014,560,530,605,0.911395278,-0.7335,0.5454,-0.7585,-0.6147,1.4386,1,0,0,0,145000
34,0,71,2009,68,2,70.86,0,2013,430,510,405,0.356536488,1.5644,1.0449,0.3174,-1.8824,1.0554,1,0,0,0,215000
36,0,91.5,2009,93.8,1,74.1,1,2013,380,535,530,0.525922584,-1.0208,0.2124,0.4711,0.2727,-0.0943,1,0,0,0,270000
37,1,77,2010,85.4,2,63.9,0,2014,475,605,415,0.649389715,0.2718,0.5454,0.3174,-1.8824,-0.4776,1,0,0,0,80000
38,1,52.33,2007,67,2,77.15,0,2013,450,525,545,0.735795709,-0.0154,1.2114,0.6248,0.7798,0.8637,0,0,0,1,330000
39,1,88,2008,89.66,2,76.4,0,2012,510,640,635,0.124502074,0.3941,1.2808,0.2366,-2.1998,-0.4455,1,0,0,0,200000
40,1,66.6,2007,68.6,2,60.22,0,2011,425,595,475,0.130441736,-0.4173,0.3448,0.0914,-0.4078,0.6603,1,0,0,0,120000
41,1,75,2009,60,2,66,0,2014,380,545,460,0.356536488,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,1,0,0,0,145000
42,1,91.4,2010,73,1,71,0,2014,555,560,825,0.23780284,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1,0,0,0,350000
43,1,59,2010,87.7,2,71.04,1,2014,300,340,355,0.112139438,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,1,0,0,0,120000
44,0,84.5,2007,82.5,2,92.1,0,2011,425,525,515,0.377551419,0.51,0.6568,-0.6343,0.2973,0.1864,1,0,0,0,380000
45,1,95.8,2010,87.16,2,79,0,2014,430,395,500,0.066960707,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,1,0,0,0,110000
46,0,85.6,2008,82,2,74.01,0,2012,370,495,455,0.080055281,0.1282,0.5454,0.1637,-0.4879,0.8637,1,0,0,0,205000
47,1,69.6,2008,71.4,2,77,0,2012,485,415,575,0.925645767,-0.4173,0.6568,-0.7794,1.7074,0.1864,1,0,0,0,95000
48,1,86.6,2009,75,2,74,0,2013,505,545,565,0.356536488,-2.5039,0.0328,0.3817,0.26793,0.5024,1,0,0,0,390000
49,1,81.92,2007,61.46,2,57.54,1,2011,565,465,415,0.843123727,1.2828,1.7488,1.8331,-2.2879,1.1343,1,0,0,0,270000
50,0,66.5,2005,49.5,2,89.7,0,2011,505,505,485,0.916869961,-1.0355,0.0328,-2.2308,1.0024,0.3444,0,0,0,1,60000
51,1,80,2009,72.5,2,57.8,0,2013,580,485,455,0.783303537,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,1,0,0,0,120000
52,1,85.2,2010,81.5,2,57.64,0,2014,545,385,485,0.600057182,1.1336,0.3789,1.0859,0.653,0.2889,1,0,0,0,400000
53,1,89.25,2010,78,2,80,1,2014,570,510,545,0.792936278,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,1,0,0,0,350000
54,0,58.4,2008,64.8,2,80,0,2014,440,415,554,0.793580615,0.335,0.0924,-0.6582,-0.4821,-0.1543,0,0,0,1,120000
55,1,90.8,2010,90.1,2,67.7,0,2014,525,530,595,0.486747008,-0.3027,0.7119,-0.2974,1.1601,-0.4776,1,0,0,0,250000
56,0,78,2006,70.1,2,68.2,0,2011,415,595,495,0.694479328,0.8192,-0.0842,-0.598,-0.6428,-0.6035,1,0,0,0,240000
57,0,89.88,2007,95.4,2,80.8,1,2011,555,475,635,0.694479328,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,1,0,0,0,525000
58,1,63.3,2008,61.1,2,66.9,0,2013,420,510,665,0.112139438,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,1,0,0,0,200000
59,1,72,1995,49,2,55,0,2011,640,460,250,0.525922584,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,1,0,0,0,120000
60,0,83,2009,79,2,70,1,2013,430,410,310,0.165633092,-0.159,-0.1206,0.1637,1.5404,-0.0943,1,0,0,0,305000
61,1,85.3,2010,88.3,2,85,1,2014,370,375,325,0.356536488,1.8517,1.5444,0.3174,0.3995,0.6721,1,0,0,0,300000
62,0,81,2009,77.8,2,65.35,0,2014,535,510,390,0.20739217,-1.1644,-0.9531,0.01,-0.7415,-0.8608,1,0,0,0,145000
63,1,60.66,2008,62.4,2,69.3,0,2013,370,410,470,0.755375121,-2.2351,-2.6847,-2.6028,0.3995,-5.477,1,0,0,0,150000
64,1,78,2004,83,1,72.13,1,2010,444,555,695,0.999904558,0.6646,0.3448,0.8171,0.6498,0.0284,1,0,0,0,600000
65,1,89.37,2009,79,2,70,0,2013,630,580,510,0.338786347,0.99,1.2114,-0.2974,-1.1218,1.247,1,0,0,0,310000
66,1,90,2006,94.4,2,76.12,0,2010,505,525,595,0.124502074,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,1,0,0,0,455000
67,0,81,2010,79,2,71.5,0,2014,510,500,575,0.493596387,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1,0,0,0,400000
68,0,78,2006,86.67,2,77.55,1,2010,535,465,535,0.910770164,-0.881,1.4368,0.3817,-0.4078,-0.1295,1,0,0,0,150000
69,1,84.4,2011,73.2,2,70,0,2015,570,410,535,0.670743151,-0.0154,0.8784,0.01,-0.7415,-0.2859,1,0,0,0,250000
70,1,89,2009,92,2,76.4,1,2013,625,645,605,0.982057124,-1.4517,-1.4526,-1.2196,1.794,-2.3937,1,0,0,0,320000
71,1,86,2008,64,2,61.17,0,2013,665,545,415,0.911395278,1.1336,1.3779,2.1617,-0.995,1.0554,1,0,0,0,250000
72,1,85,2010,75,2,60,1,2014,675,480,500,0.842248322,1.1336,1.0449,0.1637,-1.2486,0.0973,1,0,0,0,200000
74,0,86,2009,77,2,75,0,2013,325,510,295,0.018540942,0.1282,0.0459,0.1637,0.0192,-0.0943,1,0,0,0,120000
75,1,70.6,2010,78.67,2,75.84,1,2014,580,485,510,0.053160305,0.5591,0.2124,-1.2196,-0.7415,-0.8608,1,0,0,0,300000
76,1,93.44,2008,90,2,87.6,0,2012,515,475,635,0.942116551,-0.4173,0.9688,-0.1988,-0.2902,0.3049,1,0,0,0,800000
77,1,76,2009,72,2,63.2,0,2013,510,355,340,0.123016732,-0.159,-0.2871,0.4711,0.2727,-0.4776,1,0,0,0,120000
78,0,86.4,2010,78.2,2,73.5,1,2014,535,435,440,0.20739217,0.8463,1.3779,1.3933,0.653,-0.2859,1,0,0,0,325000
79,0,86,2009,95,2,78.6,0,2013,405,545,450,0.649389715,0.5591,-0.4536,0.01,-0.4879,0.6721,1,0,0,0,100000
80,1,84.83,2010,82.4,2,74.14,0,2014,665,595,705,0.744758354,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1,0,0,0,300000
81,1,72.3,2008,60.2,2,69.38,1,2013,555,475,415,0.694479328,1.4208,0.5454,-0.2974,1.0333,-0.6692,1,0,0,0,280000
82,0,69,2005,62.6,2,76.25,0,2010,395,455,475,0.694479328,-0.4173,0.1888,-0.4891,0.4148,0.8183,1,0,0,0,215000
84,0,73.33,2004,71.33,2,61,1,2010,375,535,534,0.600057182,-2.272,-0.2793,-1.2148,0.8848,-0.7615,0,0,0,1,445000
85,1,86.16,2011,70.08,2,63.13,0,2015,455,595,500,0.20739217,0.99,1.0449,1.7007,-2.0092,0.2889,1,0,0,0,315000
86,0,75,2010,78,2,71.1,1,2013,415,440,355,0.488347977,0.8463,1.3779,1.0859,-0.995,1.247,1,0,0,0,100000
87,1,56,2009,56,2,62,0,2015,605,470,355,0.843123727,0.7027,0.8784,0.3174,-1.1218,0.4805,0,0,0,1,200000
88,0,87,2008,60,2,70.82,0,2013,640,605,400,0.842248322,0.8463,1.2114,1.2396,-0.1076,1.247,1,0,0,0,220000
89,1,79.25,2008,80,2,79.9,0,2012,545,580,430,0.635978756,0.8192,1.0858,-0.4891,-0.7603,-0.1295,1,0,0,0,370000
90,1,88.66,2008,84.33,2,60,1,2012,495,565,575,0.376059587,1.2828,1.7878,1.1437,-0.6428,0.5024,1,0,0,0,145000
92,1,79,2009,87.9,2,66,1,2013,315,435,355,0.356536488,0.4155,0.5454,0.9322,-0.6147,0.8637,1,0,0,0,1500000
94,1,81.16,2008,68.5,2,61.5,0,2013,605,520,325,0.338786347,1.4208,1.2114,0.6248,-0.995,-0.2859,1,0,0,0,275000
95,0,83.5,2008,94.2,2,88.2,0,2012,515,475,445,0.670743151,0.6646,1.4368,-0.0537,0.88483,0.5024,1,0,0,0,425000
96,1,65,2006,66,2,64,0,2010,515,565,554,0.600057182,-0.7264,0.1888,-1.2148,-0.5253,1.1343,1,0,0,0,450000
97,0,88,2010,88,2,70.12,0,2014,710,605,605,0.744758354,0.5591,1.2114,1.8543,0.1459,0.0973,1,0,0,0,300000
98,1,79,2006,76.6,2,77.85,1,2010,635,495,495,0.670743151,0.8192,-0.5913,0.2366,-0.7603,-0.1295,1,0,0,0,470000
99,1,55.6,2005,50.8,2,80.03,1,2014,440,425,370,0.23780284,-0.0154,0.8784,1.2396,1.2869,0.8637,0,0,0,1,120000
100,1,75,2008,72,2,80,0,2013,475,470,415,0.911395278,0.8463,1.0449,1.3933,-1.6289,-0.2859,1,0,0,0,300000
101,1,84.6,2006,66.5,2,66.7,1,2010,345,255,395,0.0587928,-0.1082,0.0328,-0.1988,0.2973,-0.7615,1,0,0,0,205000
103,0,62,2012,61,2,70,0,2013,250,305,385,0.10487136,-0.5116,0.8229,0.8809,0.0192,1.6302,1,0,0,0,300000
104,1,62,2007,61,2,63,0,2013,465,595,605,0.793580615,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021,0,0,1,0,460000
105,1,86,2010,92,2,72,0,2014,350,590,570,0.493596387,0.8463,0.0459,-0.2974,-0.7415,-0.4776,1,0,0,0,320000
106,0,85.8,2010,65.8,2,69.7,0,2014,615,630,750,0.622642916,0.8463,1.0449,0.01,-0.2344,0.4805,1,0,0,0,340000
107,1,68.4,2008,61,2,62.2,1,2013,440,375,330,0.23780284,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,1,0,0,0,120000
108,1,51,2004,48,2,59,0,2010,275,365,395,0.525922584,0.2009,-0.2793,0.2366,1.4724,0.0284,0,0,0,1,100000
109,1,79.6,2009,73.2,2,66.96,1,2014,535,640,630,0.338786347,-1.1644,0.2124,0.3174,0.9066,-0.4776,1,0,0,0,510000
110,1,63.4,2008,63,2,69.3,0,2012,360,350,320,0.600643959,-0.4463,-1.1196,-1.6807,-0.4879,-1.244,1,0,0,0,300000
111,1,86.53,2007,71.55,2,78.5,0,2011,515,505,454,0.704090412,-0.1082,0.9688,0.8171,-0.8778,0.3444,1,0,0,0,480000
112,0,76.18,2007,86.33,2,73.46,0,2011,485,545,385,0.635978756,0.3555,1.2808,0.2366,1.3549,1.2923,1,0,0,0,170000
113,1,91.43,2009,74,2,70,1,2016,665,460,570,0.144789889,0.4155,0.3789,-0.1437,-0.7415,-0.2859,1,0,0,0,340000
114,1,78,2004,71.3,2,67,0,2009,455,605,625,0.916869961,-0.2628,-0.5913,0.2366,-0.1727,0.8183,1,0,0,0,640000
115,1,76.17,2009,72,2,78,0,2013,510,535,605,0.81941653,0.4155,-0.7866,-1.2196,1.1601,-1.8189,1,0,0,0,330000
116,1,82.4,2010,72,2,64.06,0,2014,485,525,545,0.338786347,-0.0154,0.3789,0.6248,0.9066,0.6721,1,0,0,0,225000
117,1,58,2004,57.6,2,61.9,0,2011,265,375,365,0.165633092,0.8192,0.8128,-0.1988,0.1798,-0.2875,1,0,0,0,180000
118,0,79,2007,83.4,2,72.7,0,2012,535,485,525,0.376059587,0.3555,0.6178,0.7083,0.2973,-0.2875,1,0,0,0,440000
119,0,90.04,2008,75.16,2,77,0,2012,505,495,615,0.538386893,-0.0696,0.0328,-0.1988,0.0035,-0.9194,1,0,0,0,305000
120,0,76,2008,76.6,2,77.58,0,2012,595,645,495,0.864685413,-2.5811,-0.2012,0.5994,0.1798,0.1864,1,0,0,0,500000
121,1,60.4,2006,60,2,62,0,2010,395,425,395,0.655766943,-0.2628,0.3448,-0.1988,0.5323,0.6603,1,0,0,0,270000
122,1,74.23,2010,77.77,2,75.6,0,2014,475,435,430,0.81941653,0.2718,1.0449,0.1637,0.1459,0.8637,1,0,0,0,300000
123,1,59.8,2006,60.25,2,68.63,0,2010,575,595,405,0.021066228,0.2009,1.1248,1.1074,-1.1128,0.9763,1,0,0,0,1200000
124,0,82.3,2010,89.6,2,67.95,0,2014,555,580,355,0.444617717,-0.159,-1.1196,1.2396,1.6672,0.6721,1,0,0,0,315000
125,1,90,2009,86.4,2,65.7,0,2014,605,325,515,0.837620726,0.1282,-0.2871,1.3933,0.653,-0.6692,1,0,0,0,300000
126,1,84.2,2009,67,2,69.88,0,2013,495,385,505,0.910770164,-1.0355,1.2028,0.3817,0.64983,-0.1295,1,0,0,0,320000
127,1,86.4,2008,80.4,2,61.54,0,2012,585,505,605,0.670743151,0.51,0.5008,-0.4891,-0.8778,0.1864,1,0,0,0,180000
128,1,60,2004,59,2,67,0,2011,515,555,425,0.600057182,-0.881,-0.2793,-0.6343,-0.6428,-2.9731,1,0,0,0,675000
129,1,60.8,2009,63,2,68,1,2014,440,400,310,0.144789889,0.4155,-1.1196,0.7785,-0.1076,-0.2859,1,0,0,0,120000
130,1,82.8,2009,73.6,2,67.5,1,2014,520,450,575,0.744758354,-0.159,0.0459,0.7785,-1.1218,-0.0943,1,0,0,0,325000
131,1,82.6,2009,63.6,2,71,0,2013,535,525,530,0.735795709,0.8192,-0.9033,-1.5776,-1.1128,-0.1295,1,0,0,0,350000
132,0,74,2009,61.1,2,71,1,2013,500,460,235,0.080055281,1.1336,0.3789,0.6248,-1.8824,0.8637,1,0,0,0,205000
135,1,64.66,2008,63,2,67,0,2013,370,410,470,0.842248322,0.2718,-1.1196,-1.8344,-0.7415,-1.8189,1,0,0,0,105000
136,1,78,2006,77,2,68.64,0,2010,505,555,554,0.910770164,-0.2628,0.0328,-1.5051,-0.6428,1.1343,1,0,0,0,250000
137,1,77.8,2007,79.6,1,70.12,1,2011,535,445,465,0.735795709,-1.0355,0.3448,0.8171,0.6498,-0.4455,1,0,0,0,340000
138,1,79.6,2011,87.58,2,6.63,0,2014,380,355,210,0.144789889,0.8463,0.7119,0.4711,1.1601,0.4805,1,0,0,0,195000
139,1,89.5,2010,81.4,2,60,0,2014,735,510,585,0.725984148,0.2718,0.3789,-0.6048,-0.7415,0.0973,1,0,0,0,320000
140,1,81.2,2009,76.4,2,72.3,0,2013,765,605,665,0.755375121,1.5644,0.7119,1.2396,-2.3895,1.247,1,0,0,0,360000
141,1,80,2009,89,2,62,1,2013,325,530,405,0.356536488,0.99,0.3789,-0.2974,-1.1218,-1.244,1,0,0,0,145000
142,1,78,2012,62,2,60,0,2014,525,435,405,0.744758354,-2.3134,-0.1206,-0.2974,0.1459,-1.6273,1,0,0,0,100000
143,1,72,2004,62,2,53,1,2010,335,335,405,0.376059587,0.0464,0.0328,-0.1988,-0.1727,1.6082,1,0,0,0,325000
144,1,64.56,2008,66.66,2,65.02,0,2013,545,475,485,0.376059587,0.1282,0.0459,0.1637,0.2727,-0.2859,1,0,0,0,385000
145,1,60,2009,47,2,59.9,0,2014,395,400,390,0.486747008,0.8463,-0.2871,0.01,0.2727,0.0973,1,0,0,0,120000
146,0,91.12,2010,72,2,74,1,2014,490,470,585,0.953899775,1.1336,1.5444,1.547,-1.7556,-0.0943,1,0,0,0,235000
147,1,80,2009,77.2,2,76.76,0,2013,475,630,810,0.974396113,-1.8825,-0.7866,0.3174,1.0333,-1.8189,1,0,0,0,615000
148,1,73.08,2009,71.2,2,64.46,1,2013,405,400,430,0.538386893,-0.7335,-0.9531,0.6248,0.2727,-1.8189,1,0,0,0,105000
149,0,88.6,2009,78,2,84,1,2014,455,560,630,0.04099931,0.4155,-0.1206,-0.2974,1.1601,0.0973,1,0,0,0,290000
150,1,72,2009,54,2,64,0,2014,335,535,400,0.486747008,-1.1644,-0.2871,0.6248,0.1459,-0.0943,1,0,0,0,145000
151,1,85,2008,80,2,63,0,2013,660,585,620,0.021969109,1.2772,-0.6201,-0.1437,-1.6289,-0.0943,1,0,0,0,305000
152,0,78.33,2008,67.6,2,65.72,0,2012,510,655,605,0.488347977,1.8517,1.3779,1.0859,-2.136,1.6302,1,0,0,0,275000
153,1,81.33,2006,91.9,2,70.56,1,2010,325,295,575,0.694479328,-0.4173,-0.9033,-0.1988,-0.5253,-0.4455,1,0,0,0,180000
154,0,77.8,2005,67.6,2,83.5,0,2012,425,455,555,0.694479328,-0.4173,-0.0842,-0.1626,0.53233,-0.6035,1,0,0,0,140000
156,1,73,2008,63.1,2,73.2,0,2012,355,425,505,0.229481755,0.8192,1.5538,0.926,-0.0552,0.3444,1,0,0,0,320000
157,1,77,2007,60.2,2,68.5,0,2012,570,475,500,0.488347977,-0.0154,-2.1186,0.1637,1.6672,-1.6273,1,0,0,0,405000
158,1,78,2010,76.6,1,75,0,2014,590,555,545,0.911395278,-0.159,-0.2871,0.01,-0.6147,0.2889,1,0,0,0,325000
159,1,87,2009,79,2,78,1,2013,510,605,445,0.563267824,-2.8879,-4.2831,-3.2176,-1.1218,-5.2679,1,0,0,0,340000
160,0,72,2007,69,2,72,0,2011,505,345,365,0.3423149,0.51,0.1888,0.2366,-0.4078,0.5024,1,0,0,0,225000
161,1,73,2009,61,2,58,0,2014,520,390,320,0.622642916,0.1282,1.3779,0.6248,-0.2344,0.6721,1,0,0,0,200000
162,1,78,2009,72,2,64,0,2014,595,530,525,0.486747008,1.4208,1.2114,0.3174,-0.995,1.4386,1,0,0,0,225000
163,1,73,2009,68.46,1,63,0,2014,420,485,545,0.916869961,-0.8772,0.5454,-0.1437,0.653,-0.2859,1,0,0,0,335000
164,1,84,2009,85.2,1,78.59,1,2013,625,605,735,0.376059587,-1.0208,1.0449,-1.3733,-1.8824,1.0554,1,0,0,0,350000
165,1,79,2007,72,1,78.96,1,2012,565,475,615,0.229481755,1.4374,1.9048,1.2525,-0.26087,0.8183,1,0,0,0,240000
166,0,89.7,2007,89.6,1,83.9,0,2012,625,555,625,0.910770164,-1.3447,0.6178,-1.4688,0.88483,0.6603,0,0,1,0,1860000
167,1,85,2007,64,2,65,0,2012,465,505,515,0.535862819,0.2009,0.8128,1.2525,-0.4078,0.9763,1,0,0,0,435000
168,1,85.8,2010,78.4,1,77.56,1,2014,530,595,340,0.842248322,1.2772,1.2114,-2.1418,-1.7556,-0.6692,1,0,0,0,375000
169,1,87.4,2009,82.2,2,79.68,0,2013,380,510,325,0.308400583,0.99,0.7119,1.0859,-0.1076,0.6721,1,0,0,0,275000
170,1,92.66,2008,95.6,2,71.44,0,2012,455,385,515,0.901489571,0.6646,0.8518,0.5994,-0.6428,0.5024,1,0,0,0,235000
171,1,76.87,2008,81.33,2,74.5,0,2012,375,505,525,0.961772121,0.3555,0.2668,1.2525,0.17983,0.0284,1,0,0,0,455000
172,0,70,2010,70,2,65,0,2014,475,455,415,0.679644641,-0.0154,1.2114,1.3933,-0.8682,1.6302,1,0,0,0,110000
173,1,91.3,2010,88.9,2,74.86,1,2014,525,545,560,0.486747008,-1.0208,0.7119,0.4711,-0.2344,0.2889,1,0,0,0,180000
174,1,77.9,2009,82.75,2,67.2,0,2013,570,495,620,0.538386893,0.4155,0.8784,0.01,-2.136,-0.2859,1,0,0,0,430000
175,0,76.2,2008,72.6,2,74.7,0,2012,510,665,455,0.843123727,-0.1082,0.2668,-0.2714,0.2973,-0.9194,1,0,0,0,450000
176,0,77.78,2009,66.67,2,79,0,2013,615,555,595,0.88162007,0.2718,0.0459,-0.2974,-0.3612,0.0973,1,0,0,0,240000
177,1,78,2005,67,2,78,1,2011,465,515,615,0.81941653,0.1623,1.4368,1.688,-0.6134,0.6603,0,0,0,1,660000
178,0,81.33,2006,78.4,2,71.25,1,2012,365,525,524,0.735795709,1.7156,-0.5913,1.1558,0.219,-0.9194,0,0,0,1,120000
179,1,65.6,2008,70.2,2,79,1,2013,525,590,535,0.744758354,-0.4463,-0.2871,1.2396,-0.7415,0.0973,1,0,0,0,300000
180,1,65.8,2009,76.8,2,77.5,0,2013,430,495,470,0.938399137,0.5591,-0.1206,-2.1418,0.7798,-1.0524,1,0,0,0,180000
181,1,67.75,2009,61.5,2,76.1,1,2013,450,355,295,0.670743151,-0.7335,0.2124,-0.1437,0.5262,-0.8608,1,0,0,0,70000
182,0,91.6,2010,88.9,2,75.3,0,2014,420,540,595,0.112139438,-0.159,0.5454,-0.4511,1.5404,0.4805,1,0,0,0,300000
184,1,85.6,2006,79.4,1,67.23,0,2011,525,525,565,0.538386893,-1.9629,-1.9953,-1.6502,0.6498,-1.2354,1,0,0,0,450000
185,1,78.4,2005,61.8,2,62.6,0,2010,525,465,645,0.376059587,0.6646,0.5008,0.672,0.76733,-0.169,1,0,0,0,180000
186,1,61,2005,48,2,68.16,0,2011,505,505,445,0.190153406,-1.0355,-1.3713,0.2366,-0.5253,0.0284,1,0,0,0,240000
187,1,91.5,2008,95.5,2,93,0,2012,595,605,535,0.995464719,0.51,1.1248,0.5269,0.00353,0.1864,1,0,0,0,410000
188,1,75,2008,67,2,72,0,2014,545,535,445,0.990008757,-2.457,0.0459,0.3174,1.2869,-0.4776,0,0,0,1,300000
189,1,90.4,2008,79,2,75.16,0,2012,595,545,690,0.978799293,-0.7335,0.2124,-0.7585,0.2727,-1.0524,1,0,0,0,305000
190,1,81.2,2008,80.7,2,74.3,0,2012,500,460,235,0.23780284,1.8517,1.2114,-0.4511,-1.8824,-0.4776,1,0,0,0,215000
191,1,58.6,2010,60.4,2,72.8,1,2013,380,340,310,0.414337426,-1.9629,0.2668,0.4906,-0.0552,-1.0774,1,0,0,0,200000
192,1,77,2010,77.14,2,74.36,1,2014,590,400,560,0.066960707,0.8463,-0.6201,0.6248,0.3995,1.4386,1,0,0,0,300000
193,1,82.2,2003,74,1,60,1,2011,525,455,465,0.824666401,-1.3447,0.6568,0.3817,-0.6428,-0.1295,1,0,0,0,550000
194,0,86,2007,75.2,2,76.6,0,2011,455,435,565,0.864685413,-2.5811,0.0328,0.3817,0.4148,-1.0774,1,0,0,0,35000
195,1,82,2008,81.2,1,71.67,1,2013,580,640,870,0.622642916,-0.5899,1.0449,0.3174,-1.2486,0.8637,1,0,0,0,350000
196,1,84,2007,80.8,1,72,1,2012,595,605,645,0.490636956,-0.4173,1.1248,-0.1988,0.88483,0.1864,1,0,0,0,500000
197,1,81,2010,88.88,2,75.1,0,2014,570,445,310,0.966006923,0.1282,-0.6201,0.01,0.7798,-0.8608,1,0,0,0,240000
198,1,90.1,2008,87,1,78.34,1,2012,660,680,765,0.960603252,-0.7335,0.0459,-1.2196,-0.2344,-1.0524,1,0,0,0,385000
199,1,86.17,2010,83.9,2,68,1,2014,430,400,465,0.338786347,0.5591,0.3789,0.6248,1.0333,0.2889,1,0,0,0,105000
